G;Date;Dom_Ext;Opponent;WinLose;Prolong;Tm;Opp;W;L;Streak
1;3/11/1995;;Denver Nuggets;W;;98;96;1;0;W 1
2;4/11/1995;@;Seattle SuperSonics;L;;89;103;1;1;L 1
3;7/11/1995;@;Minnesota Timberwolves;L;;92;93;1;2;L 2
4;8/11/1995;@;Utah Jazz;L;;98;108;1;3;L 3
5; 10/11/1995;;Seattle SuperSonics;W;;100;97;2;3;W 1
6; 11/11/1995;@;Golden State Warriors;L;;105;123;2;4;L 1
7; 14/11/1995;@;Sacramento Kings;W;;106;100;3;4;W 1
8; 15/11/1995;;Dallas Mavericks;W;;114;97;4;4;W 2
9; 17/11/1995;@;Vancouver Grizzlies;W;;114;91;5;4;W 3
10; 19/11/1995;;Los Angeles Clippers;W;;109;88;6;4;W 4
11; 21/11/1995;;Portland Trail Blazers;L;;108;109;6;5;L 1
12; 24/11/1995;;Sacramento Kings;L;;98;99;6;6;L 2
13; 25/11/1995;@;Phoenix Suns;L;;113;114;6;7;L 3
14; 29/11/1995;;Phoenix Suns;W;;107;96;7;7;W 1
15;1/12/1995;;Vancouver Grizzlies;W;;113;100;8;7;W 2
16;3/12/1995;;Indiana Pacers;W;;104;96;9;7;W 3
17;5/12/1995;@;San Antonio Spurs;L;;89;117;9;8;L 1
18;6/12/1995;@;Houston Rockets;L;;99;112;9;9;L 2
19;8/12/1995;;Toronto Raptors;W;;120;103;10;9;W 1
20; 10/12/1995;;Detroit Pistons;W;;87;82;11;9;W 2
21; 12/12/1995;@;New York Knicks;L;;82;97;11;10;L 1
22; 13/12/1995;@;Detroit Pistons;W;;101;98;12;10;W 1
23; 15/12/1995;@;Washington Bullets;L;;114;122;12;11;L 1
24; 16/12/1995;@;Chicago Bulls;L;;88;108;12;12;L 2
25; 19/12/1995;@;Milwaukee Bucks;W;;109;105;13;12;W 1
26; 20/12/1995;@;Indiana Pacers;L;;98;109;13;13;L 1
27; 22/12/1995;;Sacramento Kings;W;;116;83;14;13;W 1
28; 23/12/1995;@;Portland Trail Blazers;W;;102;99;15;13;W 2
29; 26/12/1995;;Boston Celtics;W;;102;91;16;13;W 3
30; 28/12/1995;;San Antonio Spurs;L;;99;107;16;14;L 1
31; 30/12/1995;@;Utah Jazz;L;;82;99;16;15;L 2
32;2/1/1996;;Philadelphia 76ers;L;;89;90;16;16;L 3
33;5/1/1996;;Utah Jazz;W;;116;100;17;16;W 1
34;7/1/1996;;Denver Nuggets;L;;93;96;17;17;L 1
35;9/1/1996;;Minnesota Timberwolves;W;;106;104;18;17;W 1
36; 12/1/1996;;Houston Rockets;W;;101;100;19;17;W 2
37; 15/1/1996;;Miami Heat;W;;96;88;20;17;W 3
38; 19/1/1996;@;Los Angeles Clippers;W;;106;100;21;17;W 4
39; 20/1/1996;;Cleveland Cavaliers;L;;82;93;21;18;L 1
40; 24/1/1996;@;Boston Celtics;W;;124;107;22;18;W 1
41; 26/1/1996;@;Philadelphia 76ers;W;;100;88;23;18;W 2
42; 27/1/1996;@;New Jersey Nets;W;;100;98;24;18;W 3
43; 30/1/1996;;Golden State Warriors;W;;128;118;25;18;W 4
44;2/2/1996;;Chicago Bulls;L;;84;99;25;19;L 1
45;4/2/1996;;Utah Jazz;W;;110;103;26;19;W 1
46;6/2/1996;@;Denver Nuggets;W;;99;78;27;19;W 2
47;7/2/1996;;New Jersey Nets;W;;106;96;28;19;W 3
48; 14/2/1996;;Atlanta Hawks;W;;87;86;29;19;W 4
49; 16/2/1996;;Dallas Mavericks;W;;119;114;30;19;W 5
50; 20/2/1996;;Los Angeles Clippers;W;;121;104;31;19;W 6
51; 21/2/1996;@;Los Angeles Clippers;W;;112;108;32;19;W 7
52; 23/2/1996;@;Dallas Mavericks;W;;114;88;33;19;W 8
53; 24/2/1996;@;Houston Rockets;L;;94;96;33;20;L 1
54; 26/2/1996;;New York Knicks;W;;114;96;34;20;W 1
55; 28/2/1996;@;Vancouver Grizzlies;W;;99;80;35;20;W 2
56;1/3/1996;;Washington Bullets;W;;100;95;36;20;W 3
57;3/3/1996;;Houston Rockets;L;;107;111;36;21;L 1
58;7/3/1996;@;Sacramento Kings;W;;102;89;37;21;W 1
59;8/3/1996;@;Phoenix Suns;W;;119;97;38;21;W 2
60; 12/3/1996;;Portland Trail Blazers;L;;99;105;38;22;L 1
61; 14/3/1996;@;Golden State Warriors;W;;106;103;39;22;W 1
62; 15/3/1996;;Milwaukee Bucks;W;;117;95;40;22;W 2
63; 17/3/1996;;Orlando Magic;L;;97;98;40;23;L 1
64; 19/3/1996;;Seattle SuperSonics;W;;94;71;41;23;W 1
65; 21/3/1996;@;Seattle SuperSonics;L;;93;104;41;24;L 1
66; 24/3/1996;;Charlotte Hornets;L;;94;103;41;25;L 2
67; 26/3/1996;@;Orlando Magic;W;;113;91;42;25;W 1
68; 27/3/1996;@;Miami Heat;W;;106;95;43;25;W 2
69; 29/3/1996;@;Atlanta Hawks;W;;102;89;44;25;W 3
70; 31/3/1996;@;Toronto Raptors;W;;111;106;45;25;W 4
71;2/4/1996;@;Charlotte Hornets;L;;97;102;45;26;L 1
72;3/4/1996;@;Cleveland Cavaliers;L;;89;105;45;27;L 2
73;5/4/1996;;Vancouver Grizzlies;W;;104;94;46;27;W 1
74;7/4/1996;;San Antonio Spurs;W;;107;97;47;27;W 2
75;9/4/1996;@;Denver Nuggets;L;;91;98;47;28;L 1
76; 10/4/1996;@;Minnesota Timberwolves;W;;111;90;48;28;W 1
77; 12/4/1996;;Golden State Warriors;W;;94;81;49;28;W 2
78; 14/4/1996;;Phoenix Suns;W;;118;114;50;28;W 3
79; 16/4/1996;@;Dallas Mavericks;W;;113;95;51;28;W 4
80; 18/4/1996;@;San Antonio Spurs;L;;100;103;51;29;L 1
81; 20/4/1996;;Minnesota Timberwolves;W;;106;82;52;29;W 1
82; 21/4/1996;@;Portland Trail Blazers;W;;92;88;53;29;W 2
1;1/11/1996;;Phoenix Suns;W;;96;82;1;0;W 1
2;3/11/1996;;Minnesota Timberwolves;W;;91;85;2;0;W 2
3;5/11/1996;@;New York Knicks;W;;98;92;3;0;W 3
4;6/11/1996;@;Charlotte Hornets;L;;78;88;3;1;L 1
5;8/11/1996;@;Toronto Raptors;L;;92;93;3;2;L 2
6; 10/11/1996;;Atlanta Hawks;W;;92;85;4;2;W 1
7; 12/11/1996;@;Houston Rockets;W;2OT;126;115;5;2;W 2
8; 13/11/1996;@;San Antonio Spurs;L;;83;95;5;3;L 1
9; 15/11/1996;;Los Angeles Clippers;W;;107;100;6;3;W 1
10; 17/11/1996;@;Phoenix Suns;W;;102;88;7;3;W 2
11; 19/11/1996;@;Golden State Warriors;W;;112;109;8;3;W 3
12; 20/11/1996;;Utah Jazz;L;;97;113;8;4;L 1
13; 22/11/1996;;San Antonio Spurs;W;;96;86;9;4;W 1
14; 24/11/1996;;Houston Rockets;L;;85;90;9;5;L 1
15; 26/11/1996;@;Philadelphia 76ers;W;;100;88;10;5;W 1
16; 27/11/1996;@;Boston Celtics;L;;94;110;10;6;L 1
17; 29/11/1996;@;Detroit Pistons;W;;84;76;11;6;W 1
18;1/12/1996;;Denver Nuggets;W;;104;96;12;6;W 2
19;3/12/1996;;Seattle SuperSonics;W;;110;106;13;6;W 3
20;4/12/1996;@;Utah Jazz;L;;75;101;13;7;L 1
21;6/12/1996;;Orlando Magic;W;;92;81;14;7;W 1
22;8/12/1996;;Minnesota Timberwolves;W;;110;86;15;7;W 2
23; 10/12/1996;@;Sacramento Kings;W;;92;90;16;7;W 3
24; 11/12/1996;;Indiana Pacers;W;;79;76;17;7;W 4
25; 13/12/1996;;Portland Trail Blazers;W;OT;120;119;18;7;W 5
26; 17/12/1996;@;Chicago Bulls;L;OT;123;129;18;8;L 1
27; 18/12/1996;@;Milwaukee Bucks;W;;111;105;19;8;W 1
28; 21/12/1996;@;Minnesota Timberwolves;L;;88;103;19;9;L 1
29; 25/12/1996;@;Phoenix Suns;W;;108;87;20;9;W 1
30; 27/12/1996;;Boston Celtics;W;;109;102;21;9;W 2
31; 29/12/1996;;Philadelphia 76ers;W;;115;102;22;9;W 3
32;2/1/1997;@;Sacramento Kings;W;;90;83;23;9;W 4
33;3/1/1997;;Sacramento Kings;W;;100;93;24;9;W 5
34;5/1/1997;@;Vancouver Grizzlies;W;;95;82;25;9;W 6
35;6/1/1997;@;Portland Trail Blazers;L;;84;88;25;10;L 1
36;8/1/1997;;Charlotte Hornets;W;;101;97;26;10;W 1
37; 10/1/1997;;Miami Heat;W;;94;85;27;10;W 2
38; 14/1/1997;;Vancouver Grizzlies;W;;91;81;28;10;W 3
39; 16/1/1997;;Portland Trail Blazers;L;;98;102;28;11;L 1
40; 18/1/1997;;Detroit Pistons;L;2OT;97;100;28;12;L 2
41; 20/1/1997;;Dallas Mavericks;W;;109;99;29;12;W 1
42; 24/1/1997;;Golden State Warriors;W;;114;97;30;12;W 2
43; 26/1/1997;@;Seattle SuperSonics;W;;104;103;31;12;W 3
44; 28/1/1997;@;Dallas Mavericks;W;;102;83;32;12;W 4
45; 29/1/1997;@;San Antonio Spurs;W;;99;92;33;12;W 5
46;2/2/1997;;Washington Bullets;W;;129;99;34;12;W 6
47;4/2/1997;@;Los Angeles Clippers;L;;86;108;34;13;L 1
48;5/2/1997;;Chicago Bulls;W;;106;90;35;13;W 1
49; 12/2/1997;@;Minnesota Timberwolves;W;;100;84;36;13;W 2
50; 13/2/1997;@;Denver Nuggets;W;;132;117;37;13;W 3
51; 16/2/1997;;Seattle SuperSonics;L;;91;102;37;14;L 1
52; 19/2/1997;;Cleveland Cavaliers;L;;84;103;37;15;L 2
53; 21/2/1997;;Vancouver Grizzlies;W;;99;91;38;15;W 1
54; 23/2/1997;;New York Knicks;L;2OT;121;127;38;16;L 1
55; 25/2/1997;@;Houston Rockets;L;;96;100;38;17;L 2
56; 27/2/1997;@;Washington Bullets;W;;122;107;39;17;W 1
57; 28/2/1997;@;Atlanta Hawks;L;;75;86;39;18;L 1
58;2/3/1997;@;Indiana Pacers;L;;85;101;39;19;L 2
59;4/3/1997;@;Dallas Mavericks;W;;102;92;40;19;W 1
60;7/3/1997;;Houston Rockets;L;;90;111;40;20;L 1
61;9/3/1997;;New Jersey Nets;W;;115;105;41;20;W 1
62; 12/3/1997;;Golden State Warriors;W;;109;101;42;20;W 2
63; 14/3/1997;;Los Angeles Clippers;L;;95;97;42;21;L 1
64; 16/3/1997;;Toronto Raptors;W;OT;98;90;43;21;W 1
65; 17/3/1997;@;Denver Nuggets;W;;113;94;44;21;W 2
66; 20/3/1997;@;Cleveland Cavaliers;W;;89;76;45;21;W 3
67; 21/3/1997;@;Miami Heat;L;;97;98;45;22;L 1
68; 23/3/1997;@;Orlando Magic;L;;84;110;45;23;L 2
69; 24/3/1997;@;New Jersey Nets;W;;109;84;46;23;W 1
70; 26/3/1997;;Milwaukee Bucks;W;;106;84;47;23;W 2
71; 27/3/1997;@;Vancouver Grizzlies;W;OT;102;98;48;23;W 3
72;1/4/1997;@;Seattle SuperSonics;W;;99;97;49;23;W 4
73;2/4/1997;;Denver Nuggets;W;;110;85;50;23;W 5
74;4/4/1997;;San Antonio Spurs;L;;83;94;50;24;L 1
75;6/4/1997;;Dallas Mavericks;W;;87;80;51;24;W 1
76;8/4/1997;@;Golden State Warriors;W;;109;85;52;24;W 2
77;9/4/1997;@;Utah Jazz;L;;89;101;52;25;L 1
78; 11/4/1997;;Phoenix Suns;W;;114;98;53;25;W 1
79; 13/4/1997;;Utah Jazz;W;;100;98;54;25;W 2
80; 17/4/1997;;Sacramento Kings;W;;108;99;55;25;W 3
81; 18/4/1997;@;Los Angeles Clippers;W;;123;95;56;25;W 4
82; 20/4/1997;@;Portland Trail Blazers;L;;96;100;56;26;L 1
1; 31/10/1997;;Utah Jazz;W;;104;87;1;0;W 1
2;4/11/1997;@;Sacramento Kings;W;;101;98;2;0;W 2
3;7/11/1997;;New York Knicks;W;;99;94;3;0;W 3
4;9/11/1997;;Golden State Warriors;W;;132;97;4;0;W 4
5; 11/11/1997;@;Dallas Mavericks;W;;118;96;5;0;W 5
6; 13/11/1997;@;San Antonio Spurs;W;OT;109;100;6;0;W 6
7; 14/11/1997;@;Houston Rockets;W;2OT;113;103;7;0;W 7
8; 16/11/1997;;Vancouver Grizzlies;W;;121;95;8;0;W 8
9; 18/11/1997;@;Utah Jazz;W;;97;92;9;0;W 9
10; 19/11/1997;;Minnesota Timberwolves;W;;118;93;10;0;W 10
11; 23/11/1997;;Los Angeles Clippers;W;;119;102;11;0;W 11
12; 25/11/1997;@;Miami Heat;L;;86;103;11;1;L 1
13; 26/11/1997;@;Boston Celtics;W;;118;103;12;1;W 1
14; 28/11/1997;@;Philadelphia 76ers;L;;95;105;12;2;L 1
15; 30/11/1997;;Toronto Raptors;W;;105;99;13;2;W 1
16;3/12/1997;@;Denver Nuggets;W;;107;89;14;2;W 2
17;5/12/1997;;San Antonio Spurs;W;;98;88;15;2;W 3
18;7/12/1997;;Cleveland Cavaliers;L;;84;94;15;3;L 1
19;8/12/1997;@;Portland Trail Blazers;L;;99;105;15;4;L 2
20; 10/12/1997;@;Golden State Warriors;L;;92;93;15;5;L 3
21; 12/12/1997;;Houston Rockets;W;;119;102;16;5;W 1
22; 14/12/1997;;Dallas Mavericks;W;;119;89;17;5;W 2
23; 16/12/1997;@;Minnesota Timberwolves;W;;109;96;18;5;W 3
24; 17/12/1997;@;Chicago Bulls;L;;83;104;18;6;L 1
25; 19/12/1997;@;Atlanta Hawks;W;;98;96;19;6;W 1
26; 20/12/1997;@;Charlotte Hornets;W;;109;100;20;6;W 2
27; 22/12/1997;@;Houston Rockets;W;;94;83;21;6;W 3
28; 26/12/1997;;Los Angeles Clippers;W;OT;118;114;22;6;W 4
29; 28/12/1997;;Boston Celtics;L;;102;108;22;7;L 1
30; 30/12/1997;;Sacramento Kings;W;;93;80;23;7;W 1
31;2/1/1998;;Atlanta Hawks;W;;116;106;24;7;W 2
32;4/1/1998;;Philadelphia 76ers;L;;107;113;24;8;L 1
33;6/1/1998;@;Vancouver Grizzlies;W;;100;87;25;8;W 1
34;7/1/1998;;Milwaukee Bucks;W;;114;102;26;8;W 2
35;9/1/1998;@;Los Angeles Clippers;W;;125;115;27;8;W 3
36; 11/1/1998;;Charlotte Hornets;L;;93;98;27;9;L 1
37; 14/1/1998;;Denver Nuggets;W;;132;114;28;9;W 1
38; 17/1/1998;;Miami Heat;W;;108;99;29;9;W 2
39; 19/1/1998;;Orlando Magic;W;;92;89;30;9;W 3
40; 21/1/1998;@;Phoenix Suns;W;;119;109;31;9;W 4
41; 24/1/1998;@;Seattle SuperSonics;L;;95;101;31;10;L 1
42; 28/1/1998;;New Jersey Nets;L;;95;106;31;11;L 2
43; 30/1/1998;;Minnesota Timberwolves;W;;121;114;32;11;W 1
44;1/2/1998;;Chicago Bulls;W;;112;87;33;11;W 2
45;4/2/1998;;Portland Trail Blazers;W;;122;115;34;11;W 3
46; 10/2/1998;@;Portland Trail Blazers;L;;105;117;34;12;L 1
47; 11/2/1998;;Golden State Warriors;W;;105;99;35;12;W 1
48; 13/2/1998;;Seattle SuperSonics;L;OT;108;113;35;13;L 1
49; 15/2/1998;;Houston Rockets;L;;88;90;35;14;L 2
50; 18/2/1998;@;Phoenix Suns;L;;103;110;35;15;L 3
51; 19/2/1998;;Denver Nuggets;W;;131;92;36;15;W 1
52; 22/2/1998;@;Orlando Magic;L;;94;96;36;16;L 1
53; 24/2/1998;@;Milwaukee Bucks;W;;98;81;37;16;W 1
54; 25/2/1998;@;Indiana Pacers;W;;96;89;38;16;W 2
55; 27/2/1998;@;Minnesota Timberwolves;W;;104;91;39;16;W 3
56;1/3/1998;@;New York Knicks;L;;89;101;39;17;L 1
57;2/3/1998;@;Washington Wizards;L;;86;96;39;18;L 2
58;4/3/1998;;Indiana Pacers;W;;104;95;40;18;W 1
59;6/3/1998;;San Antonio Spurs;W;;91;84;41;18;W 2
60;8/3/1998;;Detroit Pistons;W;;96;89;42;18;W 3
61; 11/3/1998;;Portland Trail Blazers;W;;121;107;43;18;W 4
62; 12/3/1998;@;Los Angeles Clippers;W;;108;85;44;18;W 5
63; 15/3/1998;@;Vancouver Grizzlies;W;;119;110;45;18;W 6
64; 16/3/1998;@;Seattle SuperSonics;L;;89;101;45;19;L 1
65; 18/3/1998;;Phoenix Suns;W;;99;93;46;19;W 1
66; 20/3/1998;;Seattle SuperSonics;W;;93;80;47;19;W 2
